area_name,salary
Волово (Тульская область),41666.667
Октябрьский (Архангельская область),41666.667
Анапа,41665.931
Карши,41657.040
Нижнекамск,41656.104
Тверь,41568.163
Рязань,41505.885
Советская (Ставропольский край),41500.000
Правокумское,41500.000
Эдиссия,41500.000
Курская (Ставропольский край),41500.000
Левокумское,41500.000
Степное (Ставропольский край),41500.000
Соломенское,41500.000
Петрозаводск,41313.881
Богданович,41300.000
Пионерский,41250.000
Котлас,41250.000
Обь,41243.421
Галич (Костромская область),41150.000
Ялта,41131.318
Волжск,41091.226
Красногвардейское,41000.000
Лебедянь,40994.000
Белев,40975.000
Дегтярск,40966.667
Кунгур,40944.444
Жуков,40925.000
Советская Гавань,40923.077
Хасавюрт,40833.333
Сысерть,40780.000
Спасск-Дальний,40777.778
Сибай,40757.143
Новороссийск,40740.443
Ачинск,40676.829
Федяково (Нижегородская область),40610.000
Нижний Новгород,40608.886
Шилово,40583.333
Железногорск (Красноярский край),40568.182
Абакан,40566.029
Новоалександровск,40557.143
Гусь-Хрустальный,40540.909
Верхняя Пышма,40506.757
Елабуга,40429.107
Торжок,40417.222
Зарайск,40381.818
Славянск-на-Кубани,40337.500
Владимир,40318.898
Яблоновский (Республика Адыгея),40308.824
Джубга,40250.000
Винница,40207.485
Ангарск,40145.048
Щекино,40096.000
Волжский (Волгоградская область),40076.531
Ярославль,40023.636
Семилуки,40015.000
Парголово,40000.000
Инской,40000.000
Исеть,40000.000
Индустриальный (Краснодарский край),40000.000
Виноградный (муниципальное образование город-курорт Анапа),40000.000
Белый Яр (Республика Хакасия),40000.000
Семрино,40000.000
Теплое,40000.000
Березовка (Красноярский край),40000.000
Мга,40000.000
Тюменская область,40000.000
"Сельцо (посёлок, Волосовский район)",40000.000
Ленино (Липецкая область),40000.000
Камень-Рыболов,40000.000
Толмачёво (Ленинградская область),40000.000
Полетаево (Челябинская область),40000.000
Верхнерусское,40000.000
Полярный,40000.000
Форносово,40000.000
Аргамаково (Рязанская область),40000.000
Баковка,40000.000
Балакирево,40000.000
Лебяжье,40000.000
Правдинский,40000.000
Токсово,40000.000
Смоленщина,40000.000
Славянка,40000.000
Инжавино,40000.000
Малино,40000.000
Малое Карлино,40000.000
Пудомяги,40000.000
Репино,40000.000
Репьевка,40000.000
Ям-Ижора,40000.000
Тарасовский,40000.000
Кременкуль,40000.000
Гвардейское (Республика Крым),40000.000
Снежногорск,40000.000
Кардымово,40000.000
Приладожский,40000.000
Надвоицы,40000.000
Варениковская,40000.000
Москаленки,40000.000
Печоры,40000.000
Ставрово,40000.000
Старотитаровская,40000.000
Лесной (Рязанская область),40000.000
Локомотивный (Челябинская область),40000.000
Сафоново,40000.000
Кудрово,40000.000
Барыбино,40000.000
Палана,40000.000
Енисейск,40000.000
Роза (Челябинская область),40000.000
Виноградный (Темрюкский район),40000.000
Гаджиево,40000.000
Шерегеш,40000.000
Синявино,40000.000
Сириус,40000.000
Боровск,39957.143
Северск (Томская область),39855.556
Кыштым,39840.000
Гусев,39790.625
Самара,39783.819
Пермь,39780.507
Венев,39725.000
Ермолино (Калужская область),39725.000
Коркино,39715.686
Усолье-Сибирское,39640.000
Цивильск,39633.333
Ржев,39616.000
Кулебаки,39614.286
Мамадыш,39590.000
Сырдарья,39559.450
Бишкек,39551.243
Улан-Удэ,39545.399
Геленджик,39512.308
Миасское,39500.000
Онохой,39500.000
Печора,39500.000
Тацинская,39466.667
Мещовск,39450.000
Спас-Деменск,39450.000
Юхнов,39450.000
Приволжск,39450.000
Ядрин,39450.000
Жиздра,39450.000
Кременки,39450.000
Сосенский,39450.000
Медынь,39450.000
Белоусово,39450.000
Высоковск,39450.000
Мосальск,39450.000
Таруса,39450.000
Тула,39397.635
Толмачево,39368.421
Сасово,39333.333
Кронштадт,39291.667
Крымск,39283.333
Серебряные Пруды,39250.000
Добрянка,39250.000
Тимашевск,39242.105
Ефремов,39240.000
Артемовский (Свердловская область),39166.667
Строитель (Белгородская область),39126.087
Киров (Калужская область),39100.000
Гороховец,39100.000
Донской,39087.500
Междуреченск,39076.923
Семикаракорск,39066.667
Южноуральск,39029.167
Новый Свет (Республика Крым),39000.000
Токаревка,39000.000
Красные Ткачи,39000.000
Вышний Волочек,38890.000
Барнаул,38817.049
Славгород (Алтайский край),38800.000
Лесосибирск,38800.000
Псков,38782.842
Краснотурьинск,38775.000
Шаховская,38752.400
Рыбинск,38725.490
Московская область - Запад,38674.349
Кстово,38662.812
Днепродзержинск,38657.105
